float_number,date,latitude,longitude,q0_psal,q1_psal,q2_psal,q3_psal,q4_psal,q0_temp,q1_temp,q2_temp,q3_temp,q4_temp,distance
29034,2000-11-09,29.541,144.013,34.637,34.545,34.216,34.472,34.585,26.977,14.051,4.273,2.675,2.04,0.0
29034,2000-12-09,28.98,143.237,34.718,34.475,34.27,34.473,34.583,24.441,13.197,4.491,2.73,2.038,0.0
29034,2000-12-19,28.88,143.215,34.658,34.522,34.257,34.485,34.591,23.377,13.794,4.709,2.609,2.005,0.0
29034,2000-12-29,28.709,143.096,34.685,34.502,34.293,34.487,34.59,22.036,13.525,4.52,2.637,2.029,0.0
29034,2001-01-08,28.504,143.012,34.762,34.447,34.296,34.493,34.596,21.855,12.802,4.298,2.591,1.986,0.0
29034,2001-01-18,28.321,142.638,34.802,34.479,34.279,34.487,34.596,20.904,13.11,4.306,2.636,1.969,0.0
29034,2001-01-28,28.241,142.488,34.762,34.454,34.301,34.508,34.592,20.542,12.816,3.992,2.51,2.001,0.0
2900686,2007-02-26,28.384,142.677,34.926,34.427,34.229,34.474,34.585,22.148,12.818,4.09,2.716,2.007,0.2370021096952462
2900686,2007-03-08,28.551,142.301,34.932,34.511,34.2,34.485,34.594,21.5,14.005,4.26,2.656,1.949,0.2370021096952462
2900686,2007-03-18,28.585,141.972,34.882,34.473,34.231,34.473,34.596,20.544,13.402,4.091,2.71,1.932,0.2370021096952462
2900686,2007-04-07,28.69,141.398,34.898,34.504,34.243,34.486,34.593,20.204,13.85,4.071,2.628,1.962,0.2370021096952462
2900686,2007-04-27,28.434,141.646,34.936,34.439,34.23,34.479,34.595,22.038,12.99,4.148,2.664,1.961,0.2370021096952462
2900686,2007-05-17,27.602,141.512,34.936,34.403,34.266,34.491,34.593,22.801,12.481,3.982,2.585,1.966,0.2370021096952462
2900686,2007-06-06,27.504,141.897,34.787,34.416,34.28,34.492,34.598,23.035,12.689,3.907,2.593,1.949,0.2370021096952462
2900686,2007-07-06,26.83,141.789,34.842,34.412,34.244,34.502,34.597,27.723,12.73,4.134,2.533,1.953,0.2370021096952462
2900686,2007-07-16,26.498,141.857,34.285,34.468,34.264,34.492,34.603,27.634,13.451,4.053,2.593,1.917,0.2370021096952462
2900686,2007-08-15,25.988,142.31,34.538,34.319,34.342,34.519,34.603,28.165,11.238,3.522,2.417,1.921,0.2370021096952462
2900686,2007-09-04,26.905,142.677,34.652,34.396,34.31,34.521,34.609,27.42,12.385,3.816,2.392,1.858,0.2370021096952462
2900686,2007-09-24,26.889,143.38,34.817,34.277,34.329,34.514,34.599,27.897,10.49,3.636,2.438,1.924,0.2370021096952462
2900686,2007-10-14,26.942,143.096,34.727,34.293,34.334,34.514,34.607,27.651,10.712,3.62,2.437,1.865,0.2370021096952462
2900686,2007-11-03,25.774,142.456,34.654,34.264,34.341,34.525,34.608,26.888,10.318,3.544,2.373,1.887,0.2370021096952462
2900686,2007-11-24,25.17,143.009,34.689,34.278,34.325,34.523,34.607,26.018,10.514,3.7,2.395,1.903,0.2370021096952462
2900686,2007-12-13,26.086,142.862,34.859,34.353,34.292,34.509,34.606,25.859,12.083,3.909,2.487,1.899,0.2370021096952462
2900686,2008-01-02,26.162,142.807,34.738,34.367,34.308,34.511,34.598,22.233,12.113,3.806,2.483,1.94,0.2370021096952462
2900686,2008-01-22,26.102,142.816,34.818,34.316,34.319,34.517,34.605,21.988,11.004,3.729,2.497,1.896,0.2370021096952462
2900686,2008-02-21,26.573,142.787,34.912,34.288,34.312,34.501,34.606,21.909,10.916,3.739,2.541,1.882,0.2370021096952462
2900686,2008-03-02,26.639,142.905,34.922,34.322,34.31,34.519,34.601,21.581,11.3,3.797,2.425,1.919,0.2370021096952462
2900686,2008-04-11,25.989,141.957,34.834,34.404,34.302,34.507,34.601,20.414,12.511,3.767,2.495,1.951,0.2370021096952462
2900686,2008-05-01,26.12,140.696,34.899,34.398,34.274,34.495,34.595,23.635,12.412,4.079,2.611,1.995,0.2370021096952462
2900686,2008-05-21,26.431,140.214,34.764,34.475,34.269,34.517,34.604,23.937,13.524,4.116,2.512,1.961,0.2370021096952462
2900686,2008-06-10,26.095,140.091,34.756,34.339,34.276,34.508,34.601,26.976,11.489,4.073,2.551,1.979,0.2370021096952462
2900686,2008-07-01,25.664,139.951,34.704,34.359,34.325,34.517,34.612,28.065,11.7,3.747,2.512,1.92,0.2370021096952462
